"leg","gov1","gov2","gov3","gov4","toTheRight","toTheLeft"
14,"sd","","","","kf","dkp"
15,"sd","rv","dr","","kf","dkp"
16,"sd","rv","","","kf","sf"
17,"sd","","","","kf","sf"
18,"sd","","","","kf","sf"
19,"rv","kf","v","","kf","vs"
20,"sd","","","","kf","sf"
21,"v","","","","z","dkp"
22,"sd","","","","z","dkp"
23,"sd","","","","z","dkp"
24,"sd","v","","","z","dkp"
25,"sd","","","","z","vs"
26,"sd","","","","z","vs"
27,"kf","v","krf","cd","z","vs"
28,"kf","v","krf","cd","z","vs"
29,"kf","v","krf","cd","z","fk"
30,"kf","v","rv","","z","sf"
31,"kf","v","","","z","sf"
32,"sd","rv","krf","cd","z","sf"
33,"sd","rv","cd","","z","el"
34,"sd","rv","","","z","el"
35,"sd","rv","","","df","el"
36,"v","kf","","","df","el"
