"leg","period","election","sd","rv","kf","dr","sf","dkp","lc","krf","uaf","v","vs","cd","fk","z","el","df"
14,"1953-57","5/14/1957",74,14,30,6,NA,8,NA,NA,0,42,NA,NA,NA,NA,NA,NA
15,"1957-60","11/15/1960",70,14,30,9,NA,6,NA,NA,0,45,NA,NA,NA,NA,NA,NA
16,"1960-64","9/22/1964",76,11,32,0,11,0,NA,NA,6,38,NA,NA,NA,NA,NA,NA
17,"1964-66","11/22/1966",76,10,36,0,10,0,NA,NA,4,38,NA,NA,NA,NA,NA,NA
18,"1966-68","1/23/1968",69,13,34,0,20,0,4,NA,0,35,NA,NA,NA,NA,NA,NA
19,"1968-71","9/21/1971",62,27,37,0,11,0,0,NA,0,34,4,NA,NA,NA,NA,NA
20,"1971-73","12/4/1973",70,27,31,0,17,0,NA,0,NA,30,0,NA,NA,NA,NA,NA
21,"1973-75","1/9/1975",46,20,16,5,11,6,NA,7,NA,22,0,14,NA,28,NA,NA
22,"1975-77","2/15/1977",53,13,10,0,9,7,NA,9,NA,42,4,4,NA,24,NA,NA
23,"1977-78","10/23/1979",65,6,15,6,7,7,NA,6,NA,21,5,11,NA,26,NA,NA
24,"1978-79","10/23/1979",65,6,15,6,7,7,NA,6,NA,21,5,11,NA,26,NA,NA
25,"1979-81","12/8/1981",68,10,22,5,11,0,NA,5,NA,22,6,6,NA,20,NA,NA
26,"1981-82","1/10/1984",59,9,26,0,21,0,NA,4,NA,20,5,15,NA,16,NA,NA
27,"1982-84","1/10/1984",59,9,26,0,21,0,NA,4,NA,20,5,15,NA,16,NA,NA
28,"1984-87","9/8/1987",56,10,42,0,21,0,NA,5,NA,22,5,8,NA,6,NA,NA
29,"1987-88","5/10/1988",54,11,38,0,27,0,NA,4,NA,19,0,9,4,9,NA,NA
30,"1988-90","12/12/1990",55,10,35,NA,24,0,NA,4,NA,22,0,9,0,16,NA,NA
31,"1990-93","9/21/1994",69,7,30,0,15,NA,NA,4,NA,29,NA,9,0,12,NA,NA
32,"1993-94","9/21/1994",69,7,30,0,15,NA,NA,4,NA,29,NA,9,0,12,0,NA
33,"1994-96","3/11/1998",62,8,27,NA,13,NA,NA,0,NA,42,NA,5,NA,11,6,NA
34,"1996-98","3/11/1998",62,8,27,NA,13,NA,NA,0,NA,42,NA,5,NA,11,6,NA
35,"1998-01","11/20/2001",63,7,16,NA,13,NA,NA,4,NA,42,NA,8,NA,4,5,13
36,"2001-","2/8/2005",52,9,16,NA,12,NA,NA,4,NA,56,NA,0,NA,0,4,22
