"period","pMoreOver","moreOver","lessOver","govSize","govParts"
"1953-57",0.2,"dr","rv, kf, v, dkp",0.43,"sd, , , "
"1957-60",0.33,"dkp","kf, v",0.53,"sd, rv, dr, "
"1960-64",0,"","kf, v, sf, uaf",0.5,"sd, rv, , "
"1964-66",0,"","rv, kf, v, sf, uaf",0.44,"sd, , , "
"1966-68",0.2,"sf","rv, kf, v, lc",0.39,"sd, , , "
"1968-71",0,"","sd, sf, vs",0.56,"rv, kf, v, "
"1971-73",0.25,"sf","rv, kf, v",0.4,"sd, , , "
"1973-75",0.22,"sf, z","sd, rv, kf, dr, dkp, krf",0.13,"v, , , "
"1975-77",0.44,"dkp, vs, cd, z","rv, kf, v, sf, krf",0.3,"sd, , , "
"1977-78",0.3,"rv, dr, z","kf, v, dkp, sf, vs, cd, krf",0.37,"sd, , , "
"1978-79",0.22,"kf, krf","rv, dr, dkp, sf, vs, cd, z",0.49,"sd, v, , "
"1979-81",0.22,"sf, z","rv, kf, dr, v, vs, cd, krf",0.39,"sd, , , "
"1981-82",0.62,"kf, vs, cd, krf, z","rv, v, sf",0.34,"sd, , , "
"1982-84",0.4,"rv, z","sd, sf, vs",0.37,"kf, v, krf, cd"
"1984-87",0.2,"sd","rv, sf, vs, z",0.44,"kf, v, krf, cd"
"1987-88",0.4,"rv, z","sd, sf, fk",0.4,"kf, v, krf, cd"
"1988-90",0.2,"z","sd, sf, cd, krf",0.38,"kf, v, rv, "
"1990-93",0.17,"sf","sd, rv, cd, krf, z",0.34,"kf, v, , "
"1993-94",0.5,"sf, z","kf, v",0.51,"sd, rv, krf, cd"
"1994-96",0.6,"sf, z, el","kf, v",0.43,"sd, rv, cd, "
"1996-98",0.33,"kf, v","sf, cd, z, el",0.4,"sd, rv, , "
"1998-01",0.5,"sf, krf, el, fri","kf, v, cd, df",0.4,"sd, rv, , "
"2001-",0.67,"sd, rv, sf, el","krf, df",0.41,"v, kf, , "
