"period","govParts","closestNSig","closestSig"
"1953-57","sd, , , ","rv","rv"
"1957-60","sd, rv, dr, ","v","dkp"
"1960-64","sd, rv, , ","v","sf"
"1964-66","sd, , , ","rv","rv"
"1966-68","sd, , , ","rv","sf"
"1968-71","rv, kf, v, ","sd","sd"
"1971-73","sd, , , ","sf","sf"
"1973-75","v, , , ","cd","cd"
"1975-77","sd, , , ","rv","cd"
"1977-78","sd, , , ","rv","rv"
"1978-79","sd, v, , ","rv","rv"
"1979-81","sd, , , ","rv","rv"
"1981-82","sd, , , ","rv","rv"
"1982-84","kf, v, krf, cd","rv","rv"
"1984-87","kf, v, krf, cd","rv","rv"
"1987-88","kf, v, krf, cd","sd","rv"
"1988-90","kf, v, rv, ","krf","krf"
"1990-93","kf, v, , ","cd","cd"
"1993-94","sd, rv, krf, cd","sf","sf"
"1994-96","sd, rv, cd, ","sf","sf"
"1996-98","sd, rv, , ","cd","cd"
"1998-01","sd, rv, , ","cd","sf"
"2001-","v, kf, , ","df","df"
